#Code	Plant
S	Sochaux, France (All US market Peugeots were made in Sochaux)
B	Porto Real, Rio de Janeiro state, Brazil
E	Madrid-Villaverde, Spain
G	El Palomar, Buenos Aires province, Argentina
G	Gliwice, Poland (Opel plant) (Boxer)
G	Gurun, Kedah state, Malaysia
J	Vigo, Spain
L	Rennes, France
N	Mangualde, Portugal
P	Graz, Austria (Magna Steyr plant) (RCZ)
R	Kolin, Czech Republic (TPCA plant) (107, 108)
T	Trnava, Slovakia
U	Mizushima plant, Kurashiki, Okayama prefecture, Japan (Mitsubishi Motors plant) (4007, iOn)
W	Poissy, France
Y	Mulhouse, France
Z	Sevel Nord plant, Lieu-Saint-Amand, France (Expert/Traveller)
Z	Okazaki plant, Okazaki, Aichi prefecture, Japan (Mitsubishi Motors plant) (4007, 4008)
2	Sevel Sud plant, Atessa, Italy (Boxer)
3	Shenzhen, Guangdong province, China (Shenzhen Baoneng Motor Co., Ltd. plant) (Landtrek)
5	Kenitra, Morocco (208)
7	Luton, England, UK (Vauxhall plant) (Expert/Traveller)
8	Bursa, Turkey (Tofaş plant) (Bipper)
